Department,Year,Semester,CGPA,Attendance,Club,CareerGoal,Hosteller,Scholarship
CT,2,4,7.35,88,Coding Club,Research Scientist,No,EWS
ETC,1,2,9.17,66,Photography Club,Entrepreneur,No,SC
ETC,4,8,8.52,70,Coding Club,Data Scientist,No,OBC
IIOT,3,5,6.42,66,Robotics Club,Professor,Yes,OBC
CE,2,4,6.49,68,Robotics Club,Robotics Engineer,No,SC
EE,2,4,6.46,73,Music Club,Pilot,Yes,ST
AE,2,4,9.04,63,Coding Club,Research Scientist,No,
DS,1,2,8.22,62,Robotics Club,Pilot,No,EWS
CT,3,5,8.05,64,Coding Club,Research Scientist,No,SC
AE,2,4,8.97,75,NCC,AI Engineer,No,OBC
DS,2,3,7.7,100,Coding Club,Data Scientist,No,
IIOT,1,1,7.39,84,NCC,AI Engineer,No,SC
IIOT,3,5,8.31,100,Coding Club,Research Scientist,Yes,
ETC,2,3,9.34,76,Sports Club,Software Engineer,Yes,EWS
RE,3,6,7.07,81,Music Club,Research Scientist,No,SC
AI/ML,2,3,7.34,92,Sports Club,Data Scientist,Yes,ST
ETC,3,6,6.62,63,Drama Club,AI Engineer,Yes,ST
DS,1,1,7.55,77,Photography Club,Robotics Engineer,Yes,EWS
ETC,2,3,8.7,85,Coding Club,Professor,Yes,
DS,2,3,5.97,63,NSS,Pilot,Yes,
ETC,4,8,5.63,96,Music Club,AI Engineer,Yes,
CE,2,3,6.58,90,Drama Club,Professor,No,Merit
IIOT,4,7,8.81,70,Music Club,Data Scientist,No,
RE,3,5,8.84,66,Photography Club,Robotics Engineer,No,EWS
CS,4,8,6.97,74,Drama Club,Professor,Yes,Merit
EC,2,4,6.1,90,NSS,Pilot,Yes,ST
CE,4,7,6.02,62,Robotics Club,Pilot,Yes,OBC
ETC,1,1,6.73,84,Sports Club,AI Engineer,Yes,EWS
RE,2,4,9.59,64,NSS,Data Scientist,No,Merit
IT,1,2,8.47,69,Sports Club,AI Engineer,No,OBC
AI/ML,4,7,6.23,68,NCC,Entrepreneur,No,OBC
ME,2,3,6.78,80,Coding Club,Professor,Yes,
EE,2,4,7.26,64,Music Club,Robotics Engineer,No,
CS,2,4,7.45,92,NSS,Entrepreneur,Yes,
EE,2,4,6.84,65,NCC,Software Engineer,Yes,EWS
ETC,3,6,5.68,82,Music Club,Software Engineer,No,EWS
EC,4,7,6.94,90,Photography Club,Entrepreneur,No,Merit
ETC,4,8,8.57,98,Sports Club,Entrepreneur,No,SC
IT,4,8,9.75,83,Photography Club,Robotics Engineer,Yes,Merit
CS,1,1,6.71,98,Photography Club,Professor,Yes,ST
EC,2,4,5.86,63,NSS,Data Scientist,No,ST
RE,2,4,8.86,89,Robotics Club,Data Scientist,No,SC
CS,2,4,6.15,80,Music Club,Professor,No,SC
RE,2,3,8.84,95,Music Club,Software Engineer,Yes,SC
AE,3,5,7.96,78,NSS,Research Scientist,No,ST
CS,3,5,6.06,80,Drama Club,Research Scientist,No,OBC
AI/ML,4,7,7.73,81,Coding Club,Research Scientist,No,ST
IT,3,5,8.61,65,Coding Club,Pilot,Yes,ST
IT,1,1,9.6,81,Drama Club,Data Scientist,Yes,Merit
CE,2,3,7.47,74,Photography Club,Software Engineer,No,Merit
AE,4,8,5.73,87,Coding Club,Data Scientist,Yes,OBC
ETC,1,2,9.63,94,Photography Club,Research Scientist,No,EWS
EE,3,6,8.55,79,Coding Club,Data Scientist,Yes,
EC,1,2,7.52,94,Sports Club,Data Scientist,Yes,ST
AI/ML,2,3,7.88,64,Drama Club,Pilot,Yes,SC
IT,2,4,9.24,70,Drama Club,Research Scientist,Yes,
IT,3,5,9.37,98,Sports Club,AI Engineer,No,
RE,4,7,6.46,83,NCC,Research Scientist,No,SC
IT,1,2,5.99,85,Coding Club,Entrepreneur,Yes,EWS
CT,1,1,6.18,83,Music Club,Software Engineer,Yes,OBC
DS,1,2,5.58,83,Music Club,Pilot,No,OBC
IT,1,1,9.0,65,Robotics Club,Pilot,Yes,SC
RE,2,3,6.49,65,Photography Club,Data Scientist,Yes,OBC
CS,1,1,6.65,69,NSS,Data Scientist,Yes,
AI/ML,1,2,6.24,81,NSS,Robotics Engineer,Yes,EWS
CT,1,2,6.0,93,Coding Club,Entrepreneur,Yes,Merit
IIOT,1,1,6.24,64,Sports Club,Pilot,No,OBC
CE,4,8,7.44,77,NCC,Robotics Engineer,Yes,SC
RE,1,2,9.82,88,Sports Club,AI Engineer,Yes,
IIOT,4,7,6.82,100,Sports Club,Software Engineer,Yes,Merit
CT,1,2,8.31,67,NSS,Research Scientist,No,ST
EE,4,8,8.91,83,Drama Club,Robotics Engineer,No,OBC
RE,2,3,6.0,67,Drama Club,Research Scientist,Yes,EWS
DS,1,1,8.57,74,NSS,Pilot,No,Merit
IIOT,1,1,8.31,96,Photography Club,Research Scientist,Yes,EWS
RE,4,7,7.65,61,Robotics Club,Pilot,Yes,ST
CT,3,6,8.37,89,Photography Club,AI Engineer,Yes,ST
EE,1,2,8.2,94,Sports Club,Data Scientist,Yes,EWS
AI/ML,4,7,7.49,87,Coding Club,Research Scientist,No,SC
CT,1,1,6.9,65,Photography Club,Data Scientist,No,
IT,1,1,7.01,75,Drama Club,Research Scientist,Yes,OBC
IT,2,4,7.88,68,Sports Club,Data Scientist,Yes,SC
EC,4,7,8.65,64,Music Club,Software Engineer,Yes,Merit
RE,3,6,6.56,93,Robotics Club,Data Scientist,No,EWS
EC,2,4,6.84,70,NCC,Software Engineer,No,
EC,2,4,9.17,76,Sports Club,Robotics Engineer,No,
AI/ML,3,6,7.55,86,Robotics Club,Research Scientist,Yes,
AE,3,5,6.8,95,Robotics Club,AI Engineer,Yes,SC
EC,2,4,5.99,67,Robotics Club,Software Engineer,No,Merit
ME,2,3,8.7,69,Music Club,Pilot,No,ST
RE,4,7,8.42,74,Drama Club,Software Engineer,No,OBC
ME,4,8,8.89,92,Coding Club,Research Scientist,Yes,OBC
CT,2,3,6.06,83,Robotics Club,Professor,No,SC
IIOT,1,2,9.83,69,Robotics Club,Robotics Engineer,No,EWS
IT,1,1,6.93,94,Music Club,Research Scientist,Yes,SC
ME,2,4,5.93,64,Sports Club,Pilot,No,
IT,1,2,6.98,64,NSS,Pilot,No,EWS
AI/ML,4,7,7.84,69,Drama Club,Pilot,Yes,Merit
CE,4,7,6.71,83,Sports Club,Research Scientist,Yes,ST
EC,1,1,7.4,94,Coding Club,Robotics Engineer,Yes,EWS
IIOT,4,8,8.68,93,Robotics Club,Pilot,No,Merit
DS,1,2,7.91,76,Photography Club,Robotics Engineer,No,SC
DS,2,4,9.23,80,NSS,Pilot,Yes,ST
DS,3,6,6.4,95,Music Club,Software Engineer,Yes,OBC
EE,1,1,6.17,68,Coding Club,Pilot,No,EWS
DS,3,6,6.59,60,Music Club,Pilot,No,SC
ETC,3,6,9.69,86,NCC,Robotics Engineer,No,EWS
CS,1,1,9.06,68,Coding Club,Professor,No,Merit
DS,1,1,9.37,65,Robotics Club,Robotics Engineer,Yes,SC
ME,1,2,5.91,92,NSS,AI Engineer,No,EWS
AE,3,6,9.63,83,NSS,Robotics Engineer,No,
ETC,1,2,8.14,81,Coding Club,Data Scientist,No,Merit
ME,2,4,9.54,95,Robotics Club,Research Scientist,No,
CS,2,4,7.06,75,Sports Club,AI Engineer,Yes,OBC
CT,4,8,7.76,84,Drama Club,Entrepreneur,Yes,EWS
CS,3,5,8.24,87,Photography Club,Data Scientist,Yes,Merit
IIOT,1,1,5.9,66,Drama Club,Professor,Yes,OBC
CS,4,7,8.68,98,Sports Club,Pilot,No,
CS,4,7,9.4,84,Drama Club,Data Scientist,No,Merit
EE,4,7,8.91,69,Coding Club,AI Engineer,No,OBC
ETC,3,6,7.33,100,Music Club,Entrepreneur,No,Merit
CE,4,8,8.19,96,Drama Club,Entrepreneur,No,
CE,2,3,6.65,86,Photography Club,Research Scientist,Yes,SC
EE,3,6,8.22,65,Music Club,AI Engineer,No,ST
DS,3,5,5.86,67,Photography Club,Professor,Yes,Merit
RE,2,4,7.75,91,NCC,Robotics Engineer,No,SC
DS,2,4,7.0,77,Coding Club,AI Engineer,Yes,Merit
ETC,1,1,6.02,77,Music Club,Data Scientist,No,SC
EC,4,8,9.58,81,Photography Club,AI Engineer,No,OBC
AI/ML,3,5,5.95,77,NSS,Robotics Engineer,No,ST
DS,1,2,5.58,87,Photography Club,Robotics Engineer,No,
DS,2,4,9.5,100,Robotics Club,AI Engineer,No,EWS
IIOT,3,6,6.45,81,Robotics Club,Pilot,No,EWS
ME,3,6,9.14,76,Photography Club,Robotics Engineer,No,EWS
CT,3,5,8.99,93,Sports Club,Entrepreneur,No,OBC
AI/ML,4,7,7.41,62,Robotics Club,Professor,Yes,ST
IT,1,1,7.88,90,NCC,Research Scientist,Yes,Merit
RE,2,3,6.0,78,NCC,Software Engineer,Yes,EWS
EC,4,8,5.55,65,Robotics Club,Research Scientist,Yes,
EC,3,5,9.5,82,Photography Club,Software Engineer,Yes,ST
ETC,3,5,8.77,76,Photography Club,Research Scientist,No,Merit
RE,4,7,6.34,74,Robotics Club,AI Engineer,Yes,SC
CS,2,4,8.41,69,NSS,Entrepreneur,No,OBC
EC,4,8,8.58,75,Drama Club,Research Scientist,No,Merit
CS,1,2,9.03,65,Coding Club,Robotics Engineer,Yes,OBC
IIOT,4,8,9.68,65,NCC,Data Scientist,Yes,SC
CS,3,5,6.96,87,Robotics Club,Software Engineer,Yes,
CS,4,8,5.54,73,Sports Club,Entrepreneur,Yes,OBC
ME,3,5,8.67,95,Photography Club,Professor,Yes,OBC
IIOT,3,5,7.71,68,Robotics Club,Research Scientist,No,ST
ETC,3,6,7.18,60,NSS,Software Engineer,No,SC
CS,4,8,8.99,94,NCC,Robotics Engineer,Yes,ST
RE,1,1,6.32,71,Music Club,Entrepreneur,No,Merit
CS,4,7,8.22,64,NSS,Data Scientist,No,SC
DS,4,7,8.56,83,NCC,Research Scientist,No,ST
RE,3,5,6.56,82,Music Club,Research Scientist,No,
CS,4,8,8.6,98,Sports Club,Professor,No,
CT,4,7,9.0,69,NCC,Software Engineer,Yes,Merit
AE,1,1,7.93,81,Coding Club,Pilot,No,
ETC,2,4,6.98,95,NCC,Robotics Engineer,Yes,SC
CS,1,1,6.92,74,Sports Club,Software Engineer,Yes,Merit
AE,1,1,9.69,96,Drama Club,AI Engineer,No,SC
CE,3,5,5.5,63,Drama Club,Entrepreneur,Yes,OBC
EC,2,3,8.83,82,Sports Club,Research Scientist,No,SC
AE,4,7,6.17,63,Music Club,Pilot,No,SC
EC,3,6,9.88,82,NCC,Software Engineer,No,SC
AE,3,6,8.75,76,Coding Club,Professor,Yes,
RE,4,8,7.88,84,Photography Club,Professor,No,EWS
CT,2,4,7.48,80,NCC,AI Engineer,Yes,SC
CE,3,5,8.88,88,Coding Club,AI Engineer,Yes,SC
IT,2,4,7.71,85,Photography Club,Entrepreneur,Yes,ST
AI/ML,4,8,7.85,77,Drama Club,Pilot,No,Merit
CE,1,1,7.58,90,Photography Club,Pilot,Yes,OBC
IIOT,1,2,9.08,80,Photography Club,Pilot,No,SC
CE,2,3,8.27,100,Robotics Club,Research Scientist,Yes,SC
CT,2,4,9.18,99,Photography Club,Pilot,No,
IT,3,6,7.39,89,NCC,Entrepreneur,Yes,ST
CE,1,1,6.27,95,Robotics Club,Research Scientist,Yes,ST
CS,4,8,7.2,68,NCC,Robotics Engineer,No,OBC
IIOT,4,7,7.41,90,Robotics Club,Research Scientist,No,SC
IT,2,3,7.43,61,Robotics Club,AI Engineer,Yes,
CT,3,6,8.41,60,Drama Club,Research Scientist,Yes,Merit
RE,1,2,9.03,100,Coding Club,AI Engineer,Yes,OBC
ME,3,6,7.41,73,Coding Club,Research Scientist,Yes,SC
AE,2,4,7.7,98,Music Club,Research Scientist,No,EWS
AE,4,8,9.62,84,Photography Club,AI Engineer,Yes,SC
AE,2,3,8.01,70,NCC,Professor,Yes,SC
IT,4,8,8.34,87,Photography Club,Professor,Yes,EWS
ME,3,6,7.91,74,NCC,Data Scientist,Yes,
EC,2,4,7.16,95,Sports Club,Professor,Yes,Merit
AE,3,5,7.21,68,Drama Club,Data Scientist,No,Merit
CT,3,6,5.69,85,Music Club,Software Engineer,Yes,EWS
IT,1,2,8.85,81,Drama Club,Data Scientist,No,SC
DS,2,3,8.53,99,Photography Club,Entrepreneur,Yes,SC
CT,3,6,5.64,73,NCC,Professor,No,
CT,1,2,9.81,63,Photography Club,Pilot,Yes,ST
EE,4,8,9.64,63,Photography Club,Research Scientist,Yes,OBC
RE,2,4,6.47,61,NCC,Professor,No,SC
EE,1,1,8.84,67,Sports Club,Robotics Engineer,No,OBC
CT,3,6,8.35,76,Drama Club,AI Engineer,Yes,EWS
CS,1,2,7.2,66,Photography Club,Robotics Engineer,Yes,Merit
CE,2,4,7.92,88,Music Club,AI Engineer,No,SC
EE,2,3,6.75,80,NCC,Pilot,Yes,
AI/ML,2,4,9.74,80,Coding Club,Professor,No,EWS
CS,1,1,7.09,97,NSS,AI Engineer,No,ST
EC,1,2,6.48,61,Drama Club,Pilot,Yes,Merit
DS,3,5,6.58,84,Music Club,Entrepreneur,No,Merit
ME,2,3,7.7,60,Coding Club,Entrepreneur,No,ST
EC,3,5,7.57,67,NCC,Data Scientist,No,SC
EC,1,1,9.45,84,NCC,Robotics Engineer,Yes,OBC
AE,2,4,6.28,70,NCC,AI Engineer,No,EWS
IIOT,1,1,8.03,62,Photography Club,AI Engineer,No,OBC
AE,3,6,9.57,67,Photography Club,Robotics Engineer,No,OBC
IIOT,3,5,6.78,65,Sports Club,Pilot,No,ST
IT,3,5,7.9,85,Robotics Club,Software Engineer,Yes,SC
CT,2,4,8.87,93,Coding Club,Entrepreneur,No,ST
AI/ML,3,6,8.58,75,Sports Club,Software Engineer,No,OBC
DS,2,4,8.76,73,Music Club,Professor,No,
AE,2,3,8.52,60,Photography Club,Software Engineer,Yes,ST
CS,4,8,5.58,90,Photography Club,Robotics Engineer,Yes,Merit
EE,4,8,6.0,96,NSS,Research Scientist,Yes,EWS
RE,2,3,5.93,77,NCC,Software Engineer,Yes,ST
CT,4,7,8.47,100,Music Club,Entrepreneur,Yes,
CT,4,8,6.49,80,Photography Club,Research Scientist,Yes,SC
CS,1,1,6.92,82,Sports Club,Robotics Engineer,Yes,SC
IIOT,4,7,6.01,81,NSS,Robotics Engineer,No,EWS
IIOT,1,1,8.07,79,Drama Club,Entrepreneur,Yes,EWS
CT,2,4,7.6,82,Robotics Club,Research Scientist,No,EWS
EC,3,5,8.92,81,NCC,Research Scientist,No,EWS
EC,2,3,9.3,76,NCC,Data Scientist,No,ST
ETC,3,6,6.3,71,Photography Club,Professor,No,ST
CT,1,1,7.81,99,Photography Club,Software Engineer,Yes,SC
CS,2,4,5.88,98,Sports Club,Pilot,No,Merit
IT,3,6,5.58,84,NSS,AI Engineer,Yes,OBC
IIOT,1,1,9.7,75,NCC,Pilot,No,SC
CE,1,2,5.73,69,Music Club,AI Engineer,No,OBC
RE,1,2,8.55,89,NCC,Robotics Engineer,No,SC
CE,2,3,7.16,99,Photography Club,Software Engineer,No,SC
CT,2,3,9.15,78,Coding Club,Data Scientist,No,Merit
CE,4,8,9.22,93,Music Club,AI Engineer,Yes,SC
CS,3,5,9.63,85,NSS,Software Engineer,No,EWS
RE,4,8,8.34,90,NSS,Data Scientist,No,EWS
CS,2,3,7.71,78,Photography Club,Data Scientist,Yes,Merit
IT,1,2,5.88,90,NCC,Professor,No,
CE,3,6,7.49,74,NSS,AI Engineer,No,
CE,4,7,9.74,78,Drama Club,Robotics Engineer,Yes,SC
AI/ML,4,8,6.26,72,Drama Club,Entrepreneur,No,OBC
AE,3,6,9.26,76,Coding Club,Entrepreneur,Yes,ST
CS,2,3,5.5,60,Photography Club,Software Engineer,Yes,
ETC,3,6,8.53,60,Sports Club,Entrepreneur,Yes,EWS
EC,1,1,8.03,84,Sports Club,Professor,Yes,SC
IT,2,4,6.24,87,Sports Club,Data Scientist,No,ST
CS,3,6,6.48,94,Music Club,Entrepreneur,No,EWS
CS,3,5,7.2,61,NSS,Professor,No,ST
IT,1,1,5.53,62,Sports Club,Pilot,No,Merit
EE,2,4,9.35,81,NSS,Data Scientist,No,ST
AE,2,3,6.55,89,Music Club,Entrepreneur,Yes,SC
AI/ML,2,3,6.56,84,Coding Club,AI Engineer,No,ST
RE,3,6,6.74,81,Sports Club,Robotics Engineer,Yes,Merit
DS,3,5,6.53,74,Drama Club,Professor,No,SC
ETC,2,4,6.14,73,Music Club,Software Engineer,No,ST
DS,2,3,6.81,78,Robotics Club,Pilot,Yes,Merit
CE,4,7,6.66,98,NCC,Professor,Yes,OBC
AI/ML,1,2,9.72,67,Coding Club,Professor,No,
EC,1,1,6.62,60,Music Club,Entrepreneur,Yes,Merit
DS,4,8,8.7,66,Music Club,Professor,Yes,ST
EE,1,1,9.88,100,Drama Club,Robotics Engineer,No,Merit
IT,4,7,9.72,86,NCC,Data Scientist,Yes,Merit
CE,2,3,7.85,63,Robotics Club,AI Engineer,Yes,ST
EC,1,2,8.58,71,Coding Club,Data Scientist,No,ST
EC,3,5,6.53,67,NSS,Professor,No,ST
AE,1,1,5.58,60,Music Club,Software Engineer,No,ST
ME,1,1,5.9,78,Photography Club,Robotics Engineer,No,ST
IIOT,3,6,9.69,90,Drama Club,Robotics Engineer,Yes,SC
AI/ML,4,7,8.94,88,Robotics Club,AI Engineer,Yes,ST
AI/ML,1,1,9.89,87,Drama Club,Pilot,Yes,ST
IT,1,1,6.23,63,Drama Club,Software Engineer,No,OBC
CS,4,7,7.19,64,Robotics Club,Data Scientist,No,OBC
ETC,4,7,6.38,64,NCC,Robotics Engineer,No,SC
CS,3,5,8.58,62,Music Club,Data Scientist,No,OBC
CE,1,2,8.32,77,Drama Club,Professor,Yes,SC
ME,1,2,8.25,71,Sports Club,Research Scientist,No,OBC
ETC,4,8,7.18,96,Music Club,Pilot,Yes,OBC
IT,3,6,5.56,62,Coding Club,Professor,No,ST
IIOT,2,4,7.14,77,NCC,Professor,Yes,ST
CE,1,2,6.65,98,NCC,Robotics Engineer,No,Merit
CE,4,8,9.84,92,Drama Club,Robotics Engineer,Yes,OBC
IIOT,3,5,9.51,87,Coding Club,Professor,No,
IT,4,7,7.59,84,NCC,Professor,Yes,Merit
RE,1,1,8.35,98,NSS,Software Engineer,No,OBC
CS,4,8,9.54,88,NSS,Research Scientist,Yes,ST
AE,3,6,6.4,91,Music Club,Robotics Engineer,Yes,OBC
CT,4,7,8.06,73,Sports Club,Data Scientist,No,
EE,4,8,9.07,80,Photography Club,Robotics Engineer,No,
AE,2,3,6.26,65,Photography Club,Data Scientist,No,OBC
AI/ML,1,2,6.45,72,Robotics Club,Entrepreneur,Yes,Merit
ETC,3,5,9.69,65,Drama Club,Entrepreneur,Yes,EWS
IIOT,2,4,6.5,75,NSS,Pilot,Yes,OBC
CS,2,3,8.64,95,Drama Club,Entrepreneur,No,OBC
CT,4,8,8.43,73,Sports Club,Research Scientist,No,EWS
AE,3,6,6.85,73,Music Club,Professor,Yes,SC
IT,2,4,7.36,99,Drama Club,AI Engineer,Yes,ST
EC,4,8,5.96,80,NCC,Research Scientist,No,
ETC,1,1,5.53,78,Coding Club,Entrepreneur,No,SC
IIOT,1,2,9.6,98,Sports Club,Software Engineer,No,ST
EC,1,2,7.31,69,Music Club,Professor,No,SC
EE,4,8,9.7,91,NCC,Software Engineer,Yes,SC
IIOT,3,5,6.67,66,Photography Club,Software Engineer,Yes,SC
CS,3,5,7.16,82,Robotics Club,Entrepreneur,No,SC
RE,4,8,7.78,99,Music Club,Data Scientist,No,ST
CT,4,8,9.41,94,Drama Club,Entrepreneur,Yes,OBC
AI/ML,4,8,8.23,61,Music Club,Robotics Engineer,Yes,EWS
EC,4,8,7.11,71,NCC,AI Engineer,Yes,SC
ME,2,3,8.75,78,Music Club,Robotics Engineer,No,EWS
IT,4,7,5.65,66,Robotics Club,AI Engineer,No,
RE,4,7,8.69,67,Photography Club,Research Scientist,Yes,EWS
CE,1,2,6.28,67,Photography Club,AI Engineer,No,Merit
ME,1,1,7.36,79,NSS,Professor,No,ST
EC,1,2,8.47,93,Robotics Club,Professor,No,SC
ME,2,4,7.19,61,Photography Club,Entrepreneur,No,OBC
RE,4,7,6.87,100,Photography Club,Research Scientist,Yes,Merit
IT,4,8,6.41,73,Sports Club,Research Scientist,No,EWS
ETC,3,5,6.89,85,Sports Club,AI Engineer,No,ST
RE,4,8,7.19,83,Robotics Club,Entrepreneur,No,OBC
EC,4,8,6.71,72,Drama Club,Pilot,Yes,SC
IIOT,1,2,5.68,93,Robotics Club,Research Scientist,No,OBC
ME,1,1,5.97,83,Photography Club,Entrepreneur,No,ST
AE,2,3,5.93,88,NCC,AI Engineer,No,
ME,4,7,7.93,62,NSS,Data Scientist,Yes,
EC,2,4,7.27,86,NCC,Data Scientist,Yes,Merit
CS,3,6,7.66,66,Robotics Club,AI Engineer,Yes,ST
CE,3,5,7.09,70,Photography Club,Research Scientist,Yes,EWS
DS,3,6,5.59,84,Photography Club,AI Engineer,Yes,OBC
DS,4,7,7.19,77,NSS,Pilot,No,ST
AI/ML,2,4,6.04,72,Robotics Club,Pilot,No,EWS
RE,2,3,7.56,92,Sports Club,Software Engineer,No,OBC
ME,3,6,6.57,69,Drama Club,Entrepreneur,No,Merit
RE,4,7,6.79,81,Music Club,Robotics Engineer,Yes,EWS
RE,4,7,5.63,75,Photography Club,Entrepreneur,No,OBC
AE,1,2,8.28,89,NSS,Research Scientist,No,OBC
EC,4,8,5.81,68,Sports Club,Research Scientist,Yes,EWS
CS,4,8,6.23,73,NCC,Software Engineer,No,Merit
CE,4,7,8.56,85,NSS,Entrepreneur,No,
DS,4,7,6.84,96,Drama Club,Software Engineer,Yes,EWS
CE,3,5,8.02,91,Photography Club,Pilot,No,SC
AE,1,2,6.36,62,NCC,Pilot,No,
CE,4,7,7.03,68,Coding Club,Entrepreneur,Yes,OBC
IIOT,4,8,7.87,80,NSS,Research Scientist,Yes,Merit
RE,3,6,7.67,79,Music Club,AI Engineer,No,SC
AE,2,4,9.81,64,Sports Club,Research Scientist,Yes,
AE,2,3,8.33,69,NCC,AI Engineer,No,EWS
CS,3,6,9.03,93,NSS,Entrepreneur,No,Merit
CE,4,8,5.82,90,Music Club,Robotics Engineer,Yes,SC
RE,4,8,6.48,68,Robotics Club,Data Scientist,No,Merit
ETC,3,6,8.42,84,NSS,AI Engineer,Yes,SC
EC,3,5,7.5,92,Sports Club,AI Engineer,Yes,OBC
CE,2,4,8.71,77,Music Club,Pilot,Yes,
ETC,1,2,5.71,78,NCC,Professor,Yes,
AI/ML,2,4,9.56,67,NCC,Entrepreneur,Yes,ST
AE,3,5,9.1,63,Photography Club,Pilot,Yes,ST
CS,2,3,7.35,64,NCC,Research Scientist,No,Merit
ETC,2,4,8.96,89,Coding Club,Professor,No,
CS,1,2,8.18,80,Robotics Club,AI Engineer,Yes,
AE,4,8,7.83,91,Robotics Club,Professor,Yes,SC
ETC,3,5,9.35,80,Robotics Club,Research Scientist,No,OBC
CS,2,4,6.4,88,Coding Club,Entrepreneur,Yes,EWS
DS,2,3,9.23,89,Coding Club,Professor,Yes,
ME,4,7,8.99,85,Photography Club,Pilot,Yes,SC
IT,4,8,8.97,71,NSS,Software Engineer,Yes,EWS
AE,4,7,6.7,99,Robotics Club,AI Engineer,No,
RE,3,6,8.92,82,Photography Club,Robotics Engineer,Yes,EWS
EE,4,7,8.55,72,NCC,Professor,No,Merit
IT,4,8,8.89,77,Robotics Club,Pilot,Yes,
CS,1,2,6.56,60,NCC,Software Engineer,No,OBC
DS,4,8,7.81,75,Drama Club,Entrepreneur,No,OBC
AE,4,7,8.28,88,NCC,Robotics Engineer,Yes,OBC
RE,3,5,7.45,61,Photography Club,AI Engineer,Yes,OBC
ETC,4,7,8.5,73,Photography Club,Software Engineer,No,
ETC,1,1,8.43,92,Sports Club,Robotics Engineer,Yes,Merit
IT,4,7,5.88,66,Drama Club,Software Engineer,Yes,OBC
IT,2,3,8.54,82,Coding Club,Entrepreneur,No,EWS
DS,3,6,9.89,93,Robotics Club,Software Engineer,Yes,
RE,4,7,8.6,82,NCC,Software Engineer,Yes,
EE,1,2,9.89,77,Photography Club,Pilot,No,ST
RE,1,2,7.77,82,Music Club,Data Scientist,Yes,OBC
AI/ML,4,8,5.87,72,Photography Club,Data Scientist,Yes,Merit
CE,1,1,9.83,74,Drama Club,AI Engineer,Yes,OBC
CS,4,8,8.03,77,Photography Club,Robotics Engineer,No,OBC
ETC,2,3,9.17,61,Music Club,Entrepreneur,Yes,OBC
RE,3,6,7.53,69,Robotics Club,Robotics Engineer,No,SC
CE,4,7,9.89,86,Music Club,Data Scientist,No,OBC
ME,3,6,8.14,96,Coding Club,Research Scientist,No,SC
AE,2,3,9.32,99,Photography Club,Data Scientist,No,
AI/ML,1,2,6.6,81,Sports Club,Research Scientist,No,SC
ME,3,6,5.99,63,NCC,AI Engineer,Yes,ST
AI/ML,4,7,5.9,76,Music Club,Professor,Yes,Merit
EC,1,1,7.36,69,Robotics Club,AI Engineer,No,EWS
EE,4,8,7.14,73,Robotics Club,Software Engineer,No,Merit
CS,3,5,7.25,61,Music Club,Robotics Engineer,No,ST
CT,2,3,6.27,63,NCC,Entrepreneur,No,OBC
AI/ML,2,3,9.68,83,Music Club,Robotics Engineer,No,EWS
IIOT,3,5,6.85,87,NCC,Entrepreneur,Yes,OBC
DS,4,7,9.33,77,NSS,Robotics Engineer,Yes,Merit
ETC,4,8,8.56,60,Robotics Club,Professor,No,Merit
EC,2,4,9.08,70,NCC,Robotics Engineer,Yes,OBC
CS,1,1,8.59,75,Robotics Club,Data Scientist,Yes,ST
ETC,4,7,6.27,78,NCC,Entrepreneur,Yes,
AI/ML,3,6,7.03,92,Photography Club,Software Engineer,Yes,
DS,3,6,7.27,63,NCC,Professor,No,EWS
CS,2,4,7.39,81,Coding Club,Research Scientist,Yes,Merit
CT,1,2,9.75,92,NCC,Data Scientist,Yes,ST
EC,2,4,7.5,61,NSS,Robotics Engineer,Yes,EWS
IIOT,4,7,9.13,67,Coding Club,Robotics Engineer,Yes,
EE,1,1,8.14,75,NCC,Software Engineer,No,OBC
EC,4,8,9.77,76,NCC,Professor,No,
IT,4,7,9.17,78,Drama Club,AI Engineer,Yes,EWS
EC,3,5,7.47,83,Sports Club,Pilot,Yes,Merit
ETC,3,6,9.09,78,Robotics Club,Data Scientist,No,
IT,4,7,9.5,67,Music Club,Professor,Yes,ST
EC,4,8,9.7,95,Coding Club,AI Engineer,Yes,EWS
AE,1,2,5.9,75,Robotics Club,AI Engineer,No,Merit
IIOT,2,4,9.27,83,Photography Club,Research Scientist,Yes,
IIOT,2,4,5.52,100,Photography Club,Professor,Yes,Merit
IT,3,5,9.23,62,Drama Club,AI Engineer,Yes,Merit
IIOT,1,2,8.28,76,NCC,Pilot,Yes,
CE,1,1,9.1,68,Robotics Club,Research Scientist,Yes,ST
RE,4,7,8.43,70,Photography Club,Research Scientist,Yes,OBC
ME,2,3,8.91,69,Drama Club,Entrepreneur,No,SC
IIOT,3,6,7.23,100,Music Club,Software Engineer,No,
ETC,2,3,8.57,94,Photography Club,Software Engineer,No,ST
ME,4,8,5.72,95,Coding Club,Professor,No,OBC
IT,2,4,6.45,75,NSS,Data Scientist,Yes,EWS
ME,4,7,9.84,67,NSS,Pilot,No,SC
IT,3,5,6.15,98,Music Club,Research Scientist,Yes,
CE,2,3,9.1,71,Photography Club,Pilot,Yes,OBC
CS,2,3,9.7,64,Robotics Club,Entrepreneur,Yes,
EC,3,6,8.67,85,NCC,Data Scientist,No,Merit
DS,1,1,6.02,80,Photography Club,AI Engineer,No,ST
